Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28502000,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Neil Gaiman,"=""1451673310""","=""9781451673319""",2,3.97,Simon & Schuster,Paperback,249,2013,1953,2022/07/28,2022/06/17,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2022/07/27,to-read,to-read (#42),to-read,,,,0,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,3.91,Vintage,Paperback,581,1995,1952,,2022/07/27,to-read,to-read (#41),to-read,,,,0,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.08,Penguin Press,Hardcover,338,2017,2017,,2022/07/23,to-read,to-read (#40),to-read,,,,0,0
34499221,To Kill a Kingdom (Hundred Kingdoms),Alexandra Christo,"Christo, Alexandra",,"=""1250112680""","=""9781250112682""",0,3.77,Feiwel & Friends,Hardcover,344,2018,2018,,2022/07/17,to-read,to-read (#39),to-read,,,,0,0
46265792,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",0,4.28,William Morrow Paperbacks,Kindle Edition,258,2009,1939,,2022/07/16,to-read,to-read (#38),to-read,,,,0,0
168646,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0440180295""","=""9780440180296""",0,4.09,Dell,Mass Market Paperback,215,1991,1969,,2022/07/16,to-read,to-read (#37),to-read,,,,0,0
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,,2022/07/16,to-read,to-read (#36),to-read,,,,0,0
59058504,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,"=""1250854512""","=""9781250854513""",0,3.69,Tor Books,Hardcover,375,2022,2020,,2022/07/13,to-read,to-read (#35),to-read,,,,0,0
43575115,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,"=""038554121X""","=""9780385541213""",0,3.86,Doubleday,Hardcover,498,2019,2019,,2022/07/13,to-read,to-read (#34),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.21,Tor Books,Hardcover,444,2020,2020,,2022/07/13,to-read,to-read (#32),to-read,,,,0,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",0,4.04,Flatiron Books,Hardcover,461,2019,2019,,2022/07/13,to-read,to-read (#33),to-read,,,,0,0
15819028,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"Wecker, Helene",,"=""0062110837""","=""9780062110831""",0,4.12,Harper,Hardcover,486,2013,2013,,2022/05/27,"try-to-get-back-to, to-read","try-to-get-back-to (#3), to-read (#31)",to-read,,,,0,0
88061,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"Obama, Barack",,"=""1921351438""","=""9781921351433""",0,3.93,New York: Three Rivers Press,Paperback,453,2004,1995,,2022/06/09,"to-read, memoirs","to-read (#24), memoirs (#8)",to-read,,,,0,0
